tone,R,G,B
scm,245,185,191
scm,219,161,164
scm,48,79,79
scm,177,183,193
scm,135,146,187
scm,227,216,211
scm,72,125,137
scm,234,188,195
scm,244,223,227
scm,254,251,252
scm,228,227,225
scm,152,188,197
scm,131,187,176
scm,253,252,248
scm,141,155,150
scm,98,101,123
scm,160,57,81
scm,88,84,81
scm,175,174,173
scm,235,236,243
scm,253,247,254
scm,107,148,134
scm,165,158,158
scm,88,139,138
scm,221,184,195
scm,165,195,198
scm,198,66,97
scm,202,139,159
scm,130,171,177
scm,193,62,97
scm,134,111,104
scm,173,166,153
scm,210,134,155
scm,81,131,123
scm,226,225,221
scm,248,183,193
scm,139,52,75
scm,214,219,227
scm,190,185,179
scm,65,64,66
scm,97,50,63
scm,155,54,69
scm,226,220,227
scm,160,131,137
scm,233,127,150
scm,124,128,151
scm,89,49,57
scm,86,120,144
scm,226,232,237
scm,81,49,67
scm,247,245,238
scm,221,221,211
scm,174,113,128
scm,253,250,255
scm,255,240,234
scm,239,251,239
scm,170,207,179
scm,175,129,133
scm,227,238,238
scm,220,217,213
scm,226,214,166
scm,218,161,176
scm,96,47,63
scm,255,235,240
scm,236,250,255
scm,249,160,168
scm,255,247,250
scm,81,134,124
scm,203,199,196
scm,230,240,244
scm,243,163,188
scm,229,223,223
scm,232,130,141
scm,93,159,135
scm,61,83,77
scm,216,212,207
scm,158,52,71
scm,131,156,168
scm,109,54,64
scm,234,235,228
scm,45,82,81
scm,216,207,213
scm,165,175,191
scm,226,235,238
scm,44,83,77
scm,49,65,82
scm,153,185,174
scm,214,202,141
scm,103,105,104
scm,83,60,64
scm,229,217,162
scm,233,166,188
scm,205,150,166
scm,147,116,112
scm,229,159,157
scm,148,193,184
scm,117,188,198
scm,245,251,250
scm,235,248,255
scm,253,234,236
scm,75,59,58
scm,106,155,162
scm,129,184,188
scm,164,166,175
scm,96,139,136
scm,247,255,255
scm,214,209,157
scm,222,211,193
scm,119,168,173
scm,145,192,200
scm,169,201,191
scm,240,235,230
scm,117,104,96
scm,229,166,173
scm,255,250,251
scm,100,99,126
scm,218,134,153
scm,191,69,94
scm,135,194,175
scm,91,94,125
scm,200,177,172
scm,133,149,148
scm,64,112,95
scm,240,242,246
scm,98,48,59
scm,227,216,158
scm,136,147,184
scm,91,87,85
scm,156,58,83
scm,174,165,155
scm,126,189,174
scm,135,148,180
scm,224,162,163
scm,234,231,189
scm,158,91,109
scm,158,151,160
scm,178,214,217
scm,150,151,170
scm,233,169,189
scm,228,247,235
scm,124,187,194
scm,120,186,200
scm,245,254,251
scm,143,191,196
scm,114,111,128
scm,247,227,226
scm,122,124,117
scm,171,116,130
scm,227,225,220
scm,46,61,78
scm,164,121,135
scm,234,215,221
scm,209,208,215
scm,244,250,253
scm,215,170,185
scm,232,159,184
scm,137,192,149
scm,198,140,158
scm,87,119,143
scm,233,229,216
scm,236,249,247
scm,210,225,220
scm,135,71,94
scm,212,203,138
scm,107,157,143
scm,223,238,231
scm,172,206,209
scm,218,233,242
scm,240,185,196
scm,145,117,109
scm,93,147,123
scm,240,197,206
scm,70,94,86
scm,50,69,85
scm,154,189,177
scm,251,247,243
scm,199,199,189
scm,58,82,74
scm,94,140,144
scm,188,143,158
scm,249,209,223
scm,248,252,253
scm,184,130,147
scm,137,136,166
scm,106,76,83
scm,250,225,228
scm,141,130,120
scm,81,81,87
scm,41,82,74
scm,247,242,237
scm,58,89,90
scm,228,197,201
scm,246,243,233
scm,220,219,206
scm,238,225,226
scm,196,61,92
scm,193,191,184
scm,245,204,217
scm,155,58,84
scm,75,101,97
scm,253,156,166
scm,226,170,191
scm,143,116,105
scm,235,128,151
scm,227,175,186
scm,215,201,140
scm,238,255,253
scm,163,53,80
scm,255,249,243
scm,201,102,118
scm,236,204,207
scm,229,243,233
scm,84,120,133
scm,166,121,131
scm,199,64,98
scm,246,250,249
scm,139,158,151
scm,240,229,228
scm,237,233,238
scm,118,188,197
scm,255,244,249
scm,79,61,66
scm,123,122,161
scm,230,249,253
scm,197,139,140
scm,154,144,137
scm,133,143,146
scm,242,185,192
scm,142,71,85
scm,96,146,123
scm,215,162,161
scm,117,190,191
scm,205,170,176
scm,250,240,239
scm,92,93,124
scm,142,190,157
scm,110,56,64
scm,67,61,61
scm,241,241,245
scm,92,86,84
scm,145,74,91
scm,245,248,249
scm,115,55,70
scm,100,76,89
scm,138,150,157
scm,134,77,95
scm,246,253,250
scm,118,166,168
scm,123,123,116
scm,185,140,144
scm,184,165,170
scm,172,116,129
scm,231,227,228
scm,236,189,194
scm,170,166,154
scm,198,206,217
scm,249,124,137
scm,99,144,125
scm,239,222,224
scm,240,239,245
scm,215,165,162
scm,156,55,82
scm,78,60,69
scm,120,188,193
scm,223,244,239
scm,134,180,169
scm,114,53,70
scm,240,251,255
scm,200,138,140
scm,226,222,218
scm,200,198,191
scm,199,139,136
scm,146,116,108
scm,251,212,220
scm,217,210,198
scm,159,177,190
scm,135,150,149
scm,225,140,152
scm,57,89,78
scm,62,71,83
scm,235,235,235
scm,253,246,246
scm,134,146,184
scm,209,222,218
scm,53,54,72
scm,223,162,183
scm,251,242,220
scm,206,107,126
scm,72,118,125
scm,217,217,214
scm,95,86,84
scm,208,200,203
scm,240,187,189
scm,146,135,134
scm,196,67,100
scm,246,160,169
scm,144,97,114
scm,150,185,185
scm,255,154,169
scm,127,67,87
scm,130,134,138
scm,223,222,210
scm,212,88,111
scm,76,48,64
scm,203,136,142
scm,239,255,252
scm,196,200,198
scm,163,174,196
scm,110,103,97
scm,107,107,107
scm,248,249,252
scm,204,165,173
scm,211,202,142
scm,242,125,139
scm,85,72,91
scm,135,165,160
scm,205,224,225
scm,168,168,178
scm,91,46,60
scm,226,172,184
scm,118,110,103
scm,108,58,67
scm,162,183,197
scm,190,72,91
scm,138,190,150
scm,131,123,114
scm,247,251,246
scm,243,185,191
scm,116,168,174
scm,52,53,75
scm,217,172,174
scm,219,164,169
scm,192,165,168
scm,109,172,179
scm,143,150,171
scm,209,172,184
scm,48,82,84
scm,179,207,214
