tone,b,b_chin,b_cheek,a,a_chin,a_cheek,l,L_chin,L_cheek,v,v_chin,v_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
1,1.71,0.41,2.36,4.73,9.24,8.03,66.2,56.86,60.88,67.06,60.0,63.92,7.6,14.38,12.88,0.0,346.36,357.14
1,0.25,0.15,-0.95,5.36,6.64,8.14,84.3,80.63,84.54,86.67,83.53,88.63,6.33,7.98,8.85,347.14,345.88,339.0
1,1.0,3.31,0.44,5.88,7.55,8.84,84.44,81.64,84.74,87.45,86.27,89.8,7.17,10.45,10.04,352.5,2.61,346.96
1,-2.24,1.67,-1.42,6.31,12.23,10.19,79.76,68.33,72.98,81.57,74.51,77.25,6.73,16.32,12.18,325.71,350.32,337.5
1,2.06,3.74,2.8,10.21,11.58,10.63,74.19,78.24,79.08,79.61,85.49,85.49,13.3,14.68,13.3,353.33,358.12,355.86
1,10.74,10.99,6.26,8.86,9.58,12.16,71.87,73.16,75.14,78.43,80.39,83.14,21.5,21.95,17.92,18.14,17.33,4.74
1,2.44,2.69,2.87,9.69,11.79,10.8,87.14,81.53,85.27,93.73,89.02,92.55,11.3,14.1,12.71,355.56,354.37,356.0
1,5.55,8.02,7.57,9.09,10.99,10.04,86.37,80.03,87.0,93.33,88.24,95.29,13.45,18.22,16.05,7.5,10.24,10.77
1,12.55,10.07,8.24,11.41,8.85,8.76,63.48,76.65,82.77,71.37,83.53,89.8,27.47,19.72,16.59,16.8,17.14,14.21
1,7.84,4.55,4.19,7.68,7.89,5.51,82.15,83.55,88.72,88.24,89.02,92.94,15.56,11.89,9.28,15.43,6.67,10.91
1,4.32,7.32,6.12,4.32,4.93,6.14,86.32,85.46,84.63,89.41,89.8,89.41,8.77,12.66,12.28,15.0,20.69,15.0
1,9.43,7.33,6.93,5.96,4.94,5.42,82.16,85.11,87.35,87.45,89.41,92.16,16.14,12.72,12.34,21.67,20.69,18.62
1,1.83,6.89,3.02,5.1,8.05,8.3,90.69,80.04,87.19,94.12,85.88,92.94,6.25,15.07,10.13,0.0,12.73,0.0
1,-2.59,1.83,0.83,5.19,6.61,8.49,85.62,73.35,77.43,87.06,76.08,81.57,4.95,9.28,10.58,316.36,356.67,349.09
1,-1.6,1.18,2.1,4.81,7.87,11.78,87.7,81.3,76.04,89.41,85.49,82.75,4.82,9.63,14.69,327.27,351.43,352.26
1,2.26,5.66,3.13,1.82,4.78,2.69,96.29,79.99,93.36,98.04,83.14,95.69,4.0,11.32,5.74,18.0,17.5,17.14
1,-2.24,2.04,-1.42,6.31,11.68,10.19,79.76,68.58,72.98,81.57,74.51,77.25,6.73,15.79,12.18,325.71,352.0,337.5
1,4.77,8.5,7.42,8.52,10.82,9.67,87.29,80.72,87.27,93.73,89.02,95.29,12.13,18.5,15.64,6.21,11.43,11.05
1,3.95,5.44,3.37,3.28,4.1,4.7,84.3,76.92,82.44,86.27,79.22,85.1,7.73,10.89,8.29,17.65,19.09,10.0
1,19.18,20.94,19.62,8.15,11.42,10.36,81.43,70.47,77.96,90.59,80.78,88.24,27.71,34.47,30.22,27.19,24.51,24.71
1,11.21,13.69,12.6,3.64,6.52,5.71,88.12,76.93,85.41,92.94,83.14,91.76,15.61,22.17,18.8,29.19,25.53,25.91
1,8.85,7.02,7.45,8.72,8.42,9.52,78.79,80.12,80.03,85.49,86.27,87.06,17.89,15.45,16.67,15.38,12.35,11.35
1,-3.3,-3.04,-5.43,7.77,8.46,9.23,86.54,86.35,91.78,89.8,90.2,96.08,7.42,8.26,7.76,321.18,325.26,309.47
1,3.22,3.81,3.07,8.81,7.38,9.89,80.84,81.61,86.85,86.27,86.27,93.73,11.36,10.91,11.72,0.0,5.0,357.86
1,-0.14,4.53,2.09,2.7,6.32,5.82,93.28,82.11,89.09,94.51,86.27,92.94,2.9,10.91,7.17,342.86,10.0,0.0
1,2.08,5.83,4.9,2.73,3.58,4.23,86.27,76.08,79.84,87.45,78.04,82.35,4.93,11.06,10.0,10.91,21.82,17.14
