tone,weather,b,b_chin,b_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
cool,summer,3.78,4.74,7.27,4.44,8.89,11.3,42.0,26.25,25.38
cool,summer,16.87,9.49,14.91,19.72,34.62,16.37,44.29,6.67,45.41
cool,summer,1.8,5.4,2.56,9.91,13.17,10.57,354.55,11.11,357.5
cool,summer,9.34,8.66,9.94,25.35,25.49,28.22,4.36,3.46,4.21
cool,summer,2.81,7.44,5.41,20.69,19.64,21.2,351.43,5.45,357.39
cool,summer,11.84,6.8,12.76,23.94,14.94,23.38,15.29,10.0,16.67
cool,summer,5.42,8.58,6.48,13.43,16.5,13.89,11.11,19.41,14.0
cool,summer,4.77,4.91,5.92,11.4,11.95,13.62,9.23,8.89,9.38
cool,summer,6.9,6.52,5.85,12.84,19.21,11.45,19.29,12.41,16.15
cool,summer,5.2,9.46,4.25,11.3,35.77,11.48,11.11,6.82,4.29
cool,summer,2.73,9.73,4.97,8.98,19.57,13.75,0.0,13.04,3.64
cool,summer,4.9,6.24,5.86,12.99,21.57,16.73,3.64,0.0,1.43
cool,summer,3.22,9.14,4.62,14.55,25.54,17.19,356.25,7.66,358.42
cool,summer,1.73,2.31,2.57,12.03,14.04,17.0,351.72,352.73,351.43
cool,summer,3.71,5.87,4.33,11.66,15.08,12.28,2.31,10.0,4.29
cool,summer,2.18,6.99,2.74,6.15,13.68,9.05,4.0,15.0,0.0
cool,summer,7.26,7.58,6.5,13.66,12.44,12.44,17.42,23.57,17.14
cool,summer,2.49,3.07,2.12,11.22,10.0,11.48,357.39,2.86,355.0
cool,summer,5.87,9.26,5.22,10.89,19.4,12.2,15.56,12.0,8.0
cool,summer,2.94,6.94,7.08,7.59,14.72,19.34,6.67,12.35,5.85
cool,summer,1.73,5.87,2.14,7.59,16.14,13.22,356.67,5.0,352.5
cool,summer,1.1,6.71,2.11,6.88,14.96,8.54,352.94,10.29,357.14
cool,summer,4.91,5.12,5.44,15.35,16.91,17.96,3.87,1.71,1.62
cool,summer,9.16,9.35,8.85,20.19,19.63,18.42,12.56,14.29,12.86
cool,summer,4.43,9.73,5.67,14.41,27.6,18.18,0.0,5.66,0.0
cool,summer,3.01,4.89,2.05,5.35,9.21,5.74,18.46,16.36,4.29
cool,summer,-2.36,-2.31,-4.25,8.29,7.36,5.39,328.24,328.24,304.62
cool,summer,2.06,8.48,2.7,4.74,19.16,6.9,10.91,11.71,7.5
cool,summer,10.63,9.79,6.83,24.53,23.22,20.47,10.38,9.8,2.73
cool,summer,5.55,9.7,6.91,15.46,25.66,13.78,8.0,15.38,15.48
cool,summer,-2.7,4.49,-2.91,6.17,18.87,8.62,321.43,357.0,327.0
cool,summer,4.55,-3.45,6.86,12.5,26.72,16.89,4.0,332.57,7.89
cool,summer,2.65,6.01,1.63,4.79,10.7,3.65,26.67,27.0,17.14
cool,summer,4.39,9.34,6.58,9.52,18.03,13.89,10.0,13.64,10.29
cool,summer,2.79,8.95,6.23,8.0,19.59,12.38,7.5,15.79,19.2
cool,summer,5.53,8.89,6.61,9.17,23.81,14.22,22.86,12.0,13.55
cool,summer,7.24,8.68,6.76,12.67,15.07,13.92,21.43,21.82,12.73
cool,summer,1.1,6.71,2.11,6.88,14.96,8.54,352.94,10.29,357.14
cool,summer,2.09,6.26,1.32,7.11,14.98,10.79,0.0,8.82,350.77
cool,summer,5.37,9.19,4.3,10.4,15.7,12.55,13.85,18.95,1.94
cool,summer,3.78,9.36,4.12,11.3,20.18,13.28,2.22,12.0,0.0
cool,summer,3.4,9.78,4.79,16.4,39.18,20.33,354.15,357.31,355.2
cool,summer,3.91,9.23,7.32,7.33,15.28,14.91,17.65,22.29,14.12
cool,summer,2.06,7.96,2.83,4.74,18.6,7.36,10.91,10.5,7.06
cool,summer,4.23,9.38,4.36,11.2,21.56,11.6,4.29,10.21,4.14
cool,summer,7.21,3.76,0.11,14.68,8.53,0.4,11.35,13.33,0.0
cool,summer,7.13,7.84,6.35,12.65,14.75,13.47,17.42,18.75,10.91
cool,summer,2.73,-1.36,0.85,8.19,12.9,11.35,3.16,338.57,348.46
cool,summer,7.38,3.39,5.12,13.79,14.69,12.32,21.43,2.86,12.0
cool,summer,4.37,8.55,5.19,11.22,19.19,11.17,10.91,14.21,15.65
cool,summer,4.85,8.95,7.19,14.62,20.1,20.3,3.87,13.17,5.85
cool,summer,4.32,9.76,9.06,20.19,25.7,24.87,355.71,10.43,7.66
cool,summer,23.37,4.7,10.02,40.49,9.91,22.73,31.82,13.04,13.33
cool,summer,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
cool,summer,1.71,0.41,1.83,7.6,14.38,12.88,0.0,346.36,354.29
cool,summer,0.25,0.15,-0.95,6.33,7.98,8.85,347.14,345.88,339.0
cool,summer,0.87,3.31,0.44,6.73,10.45,10.04,352.0,2.61,346.96
cool,summer,-2.24,1.67,-1.42,6.73,16.32,12.18,325.71,350.32,337.5
cool,summer,2.2,3.74,2.8,13.73,14.68,13.3,353.57,358.12,355.86
cool,summer,10.6,11.35,6.26,21.11,21.95,17.92,18.57,18.67,4.74
cool,summer,2.44,2.69,2.37,11.3,14.1,12.71,355.56,354.37,354.0
cool,summer,5.55,8.37,7.57,13.45,18.22,16.05,7.5,11.71,10.77
cool,summer,14.28,9.71,8.24,35.06,19.72,16.59,16.67,15.71,14.21
cool,summer,5.66,4.55,4.19,10.55,11.89,9.28,16.8,6.67,10.91
cool,summer,4.32,7.32,6.26,8.77,12.66,12.72,15.0,20.69,14.48
cool,summer,9.43,7.47,6.93,16.14,13.16,12.34,21.67,20.0,18.62
cool,summer,1.83,6.89,3.02,6.25,15.07,10.13,0.0,12.73,0.0
cool,summer,-2.72,1.83,-1.47,4.5,9.28,7.24,312.0,356.67,333.75
cool,summer,-1.73,1.18,2.1,4.41,9.63,14.69,324.0,351.43,352.26
cool,summer,2.26,5.66,3.13,4.0,11.32,5.74,18.0,17.5,17.14
cool,summer,-2.24,1.52,-1.42,6.73,15.87,12.18,325.71,350.0,337.5
cool,summer,4.77,8.5,7.42,12.13,18.5,15.64,6.21,11.43,11.05
cool,summer,4.08,5.44,2.87,8.14,10.89,7.83,16.67,19.09,7.06
cool,summer,19.18,20.91,19.62,27.71,34.3,30.22,27.19,24.51,24.71
